HS_Subfind,,Model_GIFcosm,,Bolshoi_Rockstar,,MSII_Subfind,,Bolshoi_BDM,,GIF_SURV,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-2.5411582024113986,0.7417647058823524,-2.953507489952502,1.1178959276018094,-2.1135367190354395,0.4546153846153842,-2.9611435878699295,1.1991402714932122,-2.2462139203507485,0.46477092760180927,-1.6553708439897696,0.04452488687782741
-2.4571611253196926,0.671696832579185,-2.8695104128607953,1.0564253393665153,-2.0295396419437335,0.3970135746606329,-2.877146510778223,1.1209049773755648,-1.9989952502740223,0.3488687782805424,-1.5713737668980632,-0.020814479638009642
-2.373164048227986,0.6046380090497732,-2.7855133357690893,0.9751809954751125,-1.9455425648520275,0.33468325791855147,-2.793149433686517,1.0439592760180991,-1.9149981731823158,0.2792307692307685,-1.4873766898063572,-0.08486425339366588
-2.2891669711362796,0.5337104072398184,-2.7015162586773833,0.9033936651583704,-1.861545487760321,0.26977375565610795,-2.709152356594811,0.9678733031674203,-1.8310010960906098,0.20787330316742025,-1.4033796127146512,-0.13988687782805487
-2.2051698940445736,0.46407239819004475,-2.617519181585677,0.8346153846153841,-1.777548410668615,0.2061538461538457,-2.6251552795031046,0.8892081447963794,-1.7470040189989038,0.13909502262443385,-1.3193825356229447,-0.19619909502262511
-2.1211728169528676,0.3957239819004519,-2.5433399446735208,0.7740659340659335,-1.6935513335769086,0.14124434389140217,-2.5411582024113986,0.8135520361990944,-1.669552168693564,0.08370394311570717,-1.2353854585312387,-0.2675565610859736
-2.037175739861161,0.32737556561085923,-2.4317074655949327,0.6797209653092,-1.6095542564852026,0.07762443438913968,-2.4571611253196926,0.73445701357466,-1.6019181585677749,0.030339366515836463,-1.1513883814395323,-0.34364253393665223
-1.9531786627694552,0.255588235294117,-1.4797405918889295,-0.12097285067873353,-1.5255571793934966,0.012285067873302635,-2.373164048227986,0.6588009049773751,-1.3804713189623676,-0.1893212669683264,-1.0673913043478263,-0.41542986425339423
-1.8691815856777492,0.18638009049773707,-1.2419306853176053,-0.34388817065287736,-1.44156010230179,-0.05391402714932192,-2.2891669711362796,0.5805656108597279,-1.2964742418706612,-0.2628280542986432,-0.9833942272561202,-0.47647058823529465
-1.7851845085860427,0.11545248868778213,-0.8573986116185606,-0.6240859728506791,-1.357563025210084,-0.11839366515837146,-2.2051698940445736,0.5057692307692303,-1.2124771647789552,-0.3380542986425348,-0.8993971501644138,-0.5405203619909509
-1.7011874314943367,0.043235294117646594,-0.7924917793204242,-0.6883936651583715,-1.2735659481183776,-0.18330316742081498,-2.1211728169528676,0.43183257918552,-1.1284800876872487,-0.41371040723981967,-0.8154000730727078,-0.6307918552036207
